account,ticker,industry,sub_industry,source,measured_signals,ai_hiring,ai_announce,cloud,global_reach,data_centre,base_score,note_count,kb_count,note_adj,kb_adj,news_adj,adjusted_score,tier,tier_action,segment,lookalikes
Stellantis,STLA,Manufacturing & Industrial,Automotive,baseline,SEC filings,72,0,72,88,46,37.2,0,0,0.0,0.0,1.4,38.6,Tier 3,Monitor,Watch List,Northrop Grumman; RTX; Lockheed Martin; Emerson Electric; Schlumberger
Estee Lauder,EL,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,64,7,72,100,32,36.8,0,0,0.0,0.0,0.8,37.599999999999994,Tier 3,Monitor,Watch List,General Mills; Kraft Heinz; Mondelez; Colgate-Palmolive; Parker Hannifin
American Airlines,AAL,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,64,49,72,84,40,35.5,0,0,0.0,0.0,1.9,37.4,Tier 3,Monitor,Late Starters,C.H. Robinson; Berkshire Hathaway; AIG; GE Aerospace; Procter & Gamble
RTX,RTX,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,74,0,72,84,44,32.3,0,0,0.0,0.0,5.0,37.3,Tier 3,Monitor,Watch List,Lockheed Martin; Northrop Grumman; Stellantis; UPS; U.S. Bancorp
General Mills,GIS,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,64,7,72,100,32,36.8,0,0,0.0,0.0,0.0,36.8,Tier 3,Monitor,Watch List,Estee Lauder; Kraft Heinz; Mondelez; Colgate-Palmolive; Parker Hannifin
C.H. Robinson,CHRW,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,64,42,72,84,40,34.8,0,0,0.0,0.0,2.0,36.8,Tier 3,Monitor,Late Starters,American Airlines; AIG; GE Aerospace; Berkshire Hathaway; Cummins
Walgreens Boots Alliance,WBA,Retail & Consumer,Retail,baseline,,66,58,74,58,42,36.7,0,0,0.0,0.0,0.0,36.7,Tier 3,Monitor,Late Starters,NextEra Energy; American Airlines; C.H. Robinson; FedEx; Berkshire Hathaway
Fox Corporation,FOXA,Media & Entertainment,Media & Entertainment,baseline,SEC filings,72,14,82,47,40,36.1,0,0,0.0,0.0,0.5,36.6,Tier 3,Monitor,Early Stage,The Home Depot; Progressive; Truist; TJX Companies; Medtronic
Best Buy,BBY,Retail & Consumer,Retail,baseline,SEC filings,66,49,74,21,42,32.7,0,0,0.0,0.0,3.8,36.5,Tier 3,Monitor,Early Stage,Dollar General; Elevance Health; Humana; Cigna; HCA Healthcare
Dow,DOW,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,62,0,68,96,40,31.4,0,0,0.0,0.0,5.0,36.4,Tier 3,Monitor,Watch List,Illinois Tool Works; Parker Hannifin; ExxonMobil; ConocoPhillips; Phillips 66
Elevance Health,ELV,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,68,49,72,27,46,35.6,0,0,0.0,0.0,0.4,36.0,Tier 3,Monitor,Early Stage,Humana; Best Buy; Dollar General; Cigna; HCA Healthcare
NextEra Energy,NEE,Energy & Utilities,Energy & Utilities,baseline,SEC filings,68,35,70,55,44,32.3,0,0,0.0,0.0,3.4,35.699999999999996,Tier 3,Monitor,Early Stage,Duke Energy; Truist; Walgreens Boots Alliance; Stryker; Cigna
Humana,HUM,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,68,42,72,27,46,34.9,0,0,0.0,0.0,0.8,35.699999999999996,Tier 3,Monitor,Early Stage,HCA Healthcare; Cigna; Elevance Health; Dollar General; Best Buy
Parker Hannifin,PH,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,62,7,68,96,40,35.1,0,0,0.0,0.0,0.0,35.1,Tier 3,Monitor,Watch List,Dow; Illinois Tool Works; Caterpillar; ExxonMobil; Phillips 66
Shell (Americas),SHEL,Energy & Utilities,Energy & Utilities,baseline,SEC filings,68,0,70,92,44,33.8,0,0,0.0,0.0,1.2,35.0,Tier 3,Monitor,Watch List,Schlumberger; Emerson Electric; Stellantis; Boeing; General Dynamics
Cigna,CI,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,68,35,72,27,46,33.8,0,0,0.0,0.0,0.5,34.3,Tier 3,Monitor,Early Stage,HCA Healthcare; Humana; Dollar General; Elevance Health; Best Buy
MetLife,MET,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,66,14,74,88,34,34.3,0,0,0.0,0.0,0.0,34.3,Tier 3,Monitor,Watch List,Chubb; Prudential Financial; AIG; Colgate-Palmolive; General Mills
HCA Healthcare,HCA,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,68,35,72,27,46,33.8,0,0,0.0,0.0,0.4,34.199999999999996,Tier 3,Monitor,Early Stage,Cigna; Humana; Dollar General; Elevance Health; Best Buy
Schlumberger,SLB,Energy & Utilities,Energy & Utilities,baseline,SEC filings,68,0,70,92,44,33.8,0,0,0.0,0.0,0.3,34.099999999999994,Tier 3,Monitor,Watch List,Shell (Americas); Emerson Electric; Stellantis; Boeing; General Dynamics
Lockheed Martin,LMT,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,74,0,72,84,44,32.3,0,0,0.0,0.0,1.8,34.099999999999994,Tier 3,Monitor,Watch List,RTX; Northrop Grumman; Stellantis; UPS; U.S. Bancorp
Dollar General,DG,Retail & Consumer,Retail,baseline,SEC filings,66,42,74,21,42,32.0,0,0,0.0,0.0,2.0,34.0,Tier 3,Monitor,Early Stage,Best Buy; Humana; Cigna; HCA Healthcare; Elevance Health
Northrop Grumman,NOC,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,74,0,72,84,44,32.3,0,0,0.0,0.0,1.5,33.8,Tier 3,Monitor,Watch List,Lockheed Martin; RTX; Stellantis; UPS; U.S. Bancorp
Kraft Heinz,KHC,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,64,0,72,100,32,33.1,0,0,0.0,0.0,0.5,33.6,Tier 3,Monitor,Watch List,Mondelez; General Mills; Estee Lauder; Colgate-Palmolive; Chubb
Progressive,PGR,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,74,0,78,51,38,28.4,0,0,0.0,0.0,5.0,33.4,Tier 3,Monitor,Early Stage,The Home Depot; Fox Corporation; Allstate; Costco Wholesale; Abbott Laboratories
Mondelez,MDLZ,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,64,0,72,100,32,33.1,0,0,0.0,0.0,0.0,33.1,Tier 3,Monitor,Watch List,Kraft Heinz; General Mills; Estee Lauder; Colgate-Palmolive; Chubb
Chevron,CVX,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,14,66,92,40,30.1,0,0,0.0,0.0,2.6,32.7,Tier 3,Monitor,Watch List,Caterpillar; Parker Hannifin; ExxonMobil; Phillips 66; ConocoPhillips
PNC Financial,PNC,Financial Services,Banks,baseline,SEC filings,74,7,74,72,42,32.6,0,0,0.0,0.0,0.0,32.6,Tier 3,Monitor,Watch List,U.S. Bancorp; Lockheed Martin; RTX; Northrop Grumman; UPS
Illinois Tool Works,ITW,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,62,0,68,96,40,31.4,0,0,0.0,0.0,0.0,31.4,Tier 3,Monitor,Watch List,Dow; Parker Hannifin; ExxonMobil; ConocoPhillips; Phillips 66
Chubb,CB,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,66,0,74,88,34,28.2,0,0,0.0,0.0,1.4,29.599999999999998,Tier 3,Monitor,Watch List,Prudential Financial; Delta Air Lines; United Airlines; MetLife; Mondelez
U.S. Bancorp,USB,Financial Services,Banks,baseline,SEC filings,74,0,74,72,42,28.9,0,0,0.0,0.0,0.5,29.4,Tier 3,Monitor,Watch List,PNC Financial; Lockheed Martin; RTX; Northrop Grumman; UPS
Prudential Financial,PRU,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,66,0,74,88,34,28.2,0,0,0.0,0.0,0.5,28.7,Tier 3,Monitor,Watch List,Chubb; Delta Air Lines; United Airlines; MetLife; Mondelez
TJX Companies,TJX,Retail & Consumer,Retail,baseline,SEC filings,66,7,74,58,42,27.2,0,0,0.0,0.0,0.3,27.5,Tier 3,Monitor,Early Stage,Costco Wholesale; Allstate; Union Pacific; Old Dominion; PNC Financial
ExxonMobil,XOM,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,0,66,92,40,24.0,0,0,0.0,0.0,2.6,26.6,Tier 3,Monitor,Watch List,ConocoPhillips; Phillips 66; Dow; Illinois Tool Works; Parker Hannifin
Kroger,KR,Retail & Consumer,Retail,baseline,SEC filings,66,14,74,21,42,25.8,0,0,0.0,0.0,0.5,26.3,Tier 3,Monitor,Early Stage,Lowe's; Target; Cigna; HCA Healthcare; CVS Health
Delta Air Lines,DAL,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,64,0,72,84,40,22.6,0,0,0.0,0.0,2.7,25.3,Tier 3,Monitor,Watch List,United Airlines; General Dynamics; Boeing; Prudential Financial; Chubb
Lowe's,LOW,Retail & Consumer,Retail,baseline,SEC filings,66,7,74,21,42,23.5,0,0,0.0,0.0,1.8,25.3,Tier 3,Monitor,Early Stage,Kroger; Target; CVS Health; Old Dominion; Union Pacific
United Airlines,UAL,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,64,0,72,84,40,22.6,0,0,0.0,0.0,2.1,24.700000000000003,Tier 3,Monitor,Watch List,Delta Air Lines; General Dynamics; Boeing; Prudential Financial; Chubb
Boeing,BA,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,66,0,68,84,40,21.5,0,0,0.0,0.0,3.2,24.7,Tier 3,Monitor,Watch List,General Dynamics; United Airlines; Delta Air Lines; Schlumberger; Shell (Americas)
ConocoPhillips,COP,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,0,66,92,40,24.0,0,0,0.0,0.0,0.3,24.3,Tier 3,Monitor,Watch List,ExxonMobil; Phillips 66; Dow; Illinois Tool Works; Parker Hannifin
Duke Energy,DUK,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,28,66,55,40,20.9,0,0,0.0,0.0,3.1,24.0,Tier 3,Monitor,Early Stage,Dominion Energy; NextEra Energy; Southern Company; TJX Companies; Old Dominion
Phillips 66,PSX,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,0,66,92,40,24.0,0,0,0.0,0.0,0.0,24.0,Tier 3,Monitor,Watch List,ExxonMobil; ConocoPhillips; Dow; Illinois Tool Works; Parker Hannifin
Costco Wholesale,COST,Retail & Consumer,Retail,baseline,SEC filings,66,0,74,58,42,23.4,0,0,0.0,0.0,0.1,23.5,Tier 3,Monitor,Early Stage,TJX Companies; Allstate; Old Dominion; Union Pacific; Progressive
General Dynamics,GD,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,66,0,68,84,40,21.5,0,0,0.0,0.0,0.0,21.5,Tier 3,Monitor,Watch List,Boeing; United Airlines; Delta Air Lines; Schlumberger; Shell (Americas)
Dominion Energy,D,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,7,66,55,40,15.2,0,0,0.0,0.0,2.3,17.5,Tier 3,Monitor,Early Stage,Southern Company; Old Dominion; Union Pacific; Duke Energy; TJX Companies
Allstate,ALL,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,66,0,74,51,34,16.9,0,0,0.0,0.0,0.0,16.9,Tier 3,Monitor,Early Stage,Old Dominion; Union Pacific; Costco Wholesale; TJX Companies; Progressive
Old Dominion,ODFL,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,64,0,72,47,40,15.0,0,0,0.0,0.0,0.7,15.7,Tier 3,Monitor,Early Stage,Union Pacific; Allstate; Costco Wholesale; TJX Companies; Southern Company
Union Pacific,UNP,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,64,0,72,47,40,15.0,0,0,0.0,0.0,0.0,15.0,Tier 3,Monitor,Early Stage,Old Dominion; Allstate; Costco Wholesale; TJX Companies; Southern Company
Southern Company,SO,Energy & Utilities,Energy & Utilities,baseline,SEC filings,60,0,66,55,40,11.5,0,0,0.0,0.0,2.5,14.0,Tier 3,Monitor,Early Stage,Dominion Energy; Old Dominion; Union Pacific; Costco Wholesale; TJX Companies
